sec,r.init,r.init was invoked (a)
4.118,0.665,StateMachine,before if(conditionsToCheck
4.119,0.532,StateMachine,before this.everyTime
4.119,0.636,StateMachine,after this.everyTime
4.120,0.501,StateMachine,run completed
4.120,0.471,Mainline,Ending state machine pass
4.121,0.431,Mainline,Begining state machine pass
4.121,0.446,StateMachine,before if(conditionsToCheck
4.122,0.693,StateMachine,before this.everyTime
4.122,0.493,StateMachine,after this.everyTime
4.123,0.458,StateMachine,run completed
4.123,0.445,Mainline,Ending state machine pass
4.124,0.448,Mainline,Begining state machine pass
4.125,1.151,StateMachine,before if(conditionsToCheck
4.125,0.548,StateMachine,before this.everyTime
4.126,0.873,StateMachine,after this.everyTime
4.127,0.443,StateMachine,run completed
4.127,0.462,Mainline,Ending state machine pass
4.128,0.424,Mainline,Begining state machine pass
4.128,0.475,StateMachine,before if(conditionsToCheck
4.129,0.594,StateMachine,before this.everyTime
4.129,0.528,StateMachine,after this.everyTime
4.130,0.858,StateMachine,run completed
4.131,1.325,Mainline,Ending state machine pass
4.132,0.623,Mainline,Begining state machine pass
4.133,0.475,StateMachine,before if(conditionsToCheck
4.133,0.550,StateMachine,before this.everyTime
4.134,0.461,StateMachine,after this.everyTime
4.134,0.465,StateMachine,run completed
4.134,0.432,Mainline,Ending state machine pass
4.135,0.380,Mainline,Begining state machine pass
4.135,0.413,StateMachine,before if(conditionsToCheck
4.136,0.519,StateMachine,before this.everyTime
4.136,0.502,StateMachine,after this.everyTime
4.137,0.622,StateMachine,run completed
4.137,0.562,Mainline,Ending state machine pass
4.138,0.933,Mainline,Begining state machine pass
4.139,0.531,StateMachine,before if(conditionsToCheck
4.140,1.067,StateMachine,before this.everyTime
4.141,0.553,StateMachine,after this.everyTime
4.141,0.813,StateMachine,run completed
4.142,0.558,Mainline,Ending state machine pass
4.142,0.428,Mainline,Begining state machine pass
4.143,1.001,StateMachine,before if(conditionsToCheck
4.144,0.494,StateMachine,before this.everyTime
4.145,1.268,StateMachine,after this.everyTime
4.146,0.628,StateMachine,run completed
4.146,0.793,Mainline,Ending state machine pass
4.147,0.826,Mainline,Begining state machine pass
4.148,0.819,StateMachine,before if(conditionsToCheck
4.149,0.536,StateMachine,before this.everyTime
4.149,0.570,StateMachine,after this.everyTime
4.150,0.581,StateMachine,run completed
4.151,1.010,Mainline,Ending state machine pass
4.151,0.537,Mainline,Begining state machine pass
4.153,1.433,StateMachine,before if(conditionsToCheck
4.153,0.545,StateMachine,before this.everyTime
4.154,0.926,StateMachine,after this.everyTime
4.155,0.611,StateMachine,run completed
4.155,0.495,Mainline,Ending state machine pass
4.156,0.581,Mainline,Begining state machine pass
4.157,0.900,StateMachine,before if(conditionsToCheck
4.159,1.666,StateMachine,before this.everyTime
4.160,1.753,StateMachine,after this.everyTime
4.162,1.600,StateMachine,run completed
4.163,0.876,Mainline,Ending state machine pass
4.164,1.237,Mainline,Begining state machine pass
4.165,1.248,StateMachine,before if(conditionsToCheck
4.166,0.568,StateMachine,before this.everyTime
4.167,0.828,StateMachine,after this.everyTime
4.167,0.460,StateMachine,run completed
4.168,0.463,Mainline,Ending state machine pass
4.168,0.717,Mainline,Begining state machine pass
